City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,la passe,45.5549,-0.8967,19.13,86,29,5.68,FR,1696297338
83,stanley,54.868,-1.6985,9.01,93,20,3.09,GB,1696297107
84,general villegas,-35.0328,-63.0125,15.23,47,75,5.19,AR,1696297339
85,merowe,18.4833,31.8167,32.84,18,3,3.12,SD,1696297339
86,al burayqah,30.4062,19.5739,24.09,62,28,4.98,LY,1696297339
87,georgetown,5.4112,100.3354,28.86,89,20,1.54,MY,1696297217
88,qaqortoq,60.7167,-46.0333,3.18,82,100,1.58,GL,1696297241
89,torghay,49.6339,63.4981,10.38,62,96,2.41,KZ,1696297339
90,presidente medici,-11.1753,-61.9014,28.94,40,12,1.54,BR,1696297339
91,oliveira dos brejinhos,-12.3169,-42.8961,27.62,44,58,0.96,BR,1696297339
92,kristiansund,63.1115,7.732,9.36,93,100,1.54,NO,1696297237
93,chardara,41.2547,67.9692,15.4,40,0,2.73,KZ,1696297340
94,viedma,-40.8135,-62.9967,9.81,92,53,2.05,AR,1696297223
95,chonchi,-42.6128,-73.8092,7.56,95,80,0.61,CL,1696297340
96,jirja,26.3383,31.8916,25.12,44,0,5.14,EG,1696297340
97,aasiaat,68.7098,-52.8699,-8.81,80,3,4.24,GL,1696297264
98,laguna,38.421,-121.4238,26.16,30,0,2.06,US,1696297340
99,remire-montjoly,4.9167,-52.2667,27.02,83,0,1.03,GF,1696297271
100,klyuchi,52.2667,79.1667,4.48,52,16,3.3,RU,1696297340
101,burang,30.25,81.1667,6.96,68,84,3.42,CN,1696297341
102,aktau,43.65,51.2,19.32,39,99,7.68,KZ,1696297341
103,codrington,-38.2667,141.9667,15.01,66,97,7.68,AU,1696297341
104,nadym,65.5333,72.5167,6.37,77,100,11.29,RU,1696297341
105,california city,35.1258,-117.9859,21.88,44,0,6.69,US,1696297341
106,talnakh,69.4865,88.3972,0.67,96,100,7.56,RU,1696297243
107,tvoroyri,61.5556,-6.8111,10.14,93,21,7.38,FO,1696297341
108,la huerta,19.4667,-104.65,28.27,98,100,0.51,MX,1696297342
109,tolanaro,-25.0319,46.9987,19.04,68,75,5.14,MG,1696297342
110,puerto leguizamo,-0.1934,-74.7819,25.55,81,24,0.49,CO,1696297342
111,tralee,52.2704,-9.7026,11.37,88,100,4.82,IE,1696297240
112,karratha,-20.7377,116.8463,30.59,23,75,7.14,AU,1696297342
113,puerto baquerizo moreno,-0.9,-89.6,22.64,91,72,4.41,EC,1696297262
114,polyarnyy,69.1989,33.4478,1.79,75,100,3.32,RU,1696297315
115,tazovsky,67.4667,78.7,7.44,94,100,7.3,RU,1696297342
116,ust'-kulom,61.6864,53.6902,7.54,90,100,2.35,RU,1696297342
117,tura,25.5198,90.2201,25.06,92,28,2.01,IN,1696297263
118,chokwe,-24.5333,32.9833,15.26,73,0,1.21,MZ,1696297343
119,walvis bay,-22.9575,14.5053,12.83,100,6,2.06,NA,1696297343
120,kodiak,57.79,-152.4072,8.73,46,0,8.23,US,1696297235
121,muravlenko,63.7898,74.523,8.27,87,66,10.04,RU,1696297343
122,berdigestyakh,62.0989,126.6992,0.72,91,100,3.13,RU,1696297343
123,sisimiut,66.9395,-53.6735,0.91,61,5,2.84,GL,1696297343
124,alice springs,-23.7,133.8833,35.75,14,16,8.75,AU,1696297343
125,papatowai,-46.5619,169.4708,13.38,41,5,3.54,NZ,1696297343
126,carnarvon,-24.8667,113.6333,19.36,43,0,10.72,AU,1696297344
127,dudinka,69.4058,86.1778,0.9,96,100,10.28,RU,1696297344
128,colonel hill,22.7667,-74.2167,28.63,75,100,7.46,BS,1696297344
129,punta arenas,-53.15,-70.9167,6.06,75,0,5.14,CL,1696297153
130,port elizabeth,-33.918,25.5701,20.17,51,0,2.57,ZA,1696297344
131,asosa,10.0667,34.5333,16.24,77,51,1.59,ET,1696297344
132,tari,12.4086,4.4914,23.31,87,99,6.74,NG,1696297344
133,west island,-12.1568,96.8225,25.99,69,75,5.66,CC,1696297344
134,yellowknife,62.456,-114.3525,9.67,97,75,1.54,CA,1696297230
135,male,4.1748,73.5089,26.97,89,75,2.06,MV,1696297345
136,utrik,11.2278,169.8474,28.76,78,27,6.3,MH,1696297253
137,dubbo,-32.25,148.6167,30.07,23,43,10.8,AU,1696297170
138,hermanus,-34.4187,19.2345,14.58,91,0,2.22,ZA,1696297345
139,petra,30.3222,35.4793,16.45,77,94,2.22,JO,1696297345
140,haiku-pauwela,20.9219,-156.3051,31.01,51,40,5.14,US,1696297345
141,kivioli,59.3531,26.9711,12.61,90,100,5.2,EE,1696297345
142,cooper's town,26.8667,-77.5167,27.47,66,4,8.98,BS,1696297287
143,isafjordur,66.0755,-23.124,1.15,93,100,7.28,IS,1696297230
144,enewetak,11.3474,162.3373,28.39,79,100,4.96,MH,1696297346
145,petropavlovsk-kamchatsky,53.0452,158.6483,8.03,88,75,6.71,RU,1696297107
146,xiaoshan,30.1675,120.2588,25.92,61,20,2.0,CN,1696297346
147,gurupi,-11.7292,-49.0686,30.58,25,10,2.0,BR,1696297346
148,shushtar,32.0455,48.8567,29.91,27,78,1.89,IR,1696297346
149,chernyshevsk,52.5243,117.0174,8.16,51,44,2.96,RU,1696297346
150,kerikeri,-35.2268,173.9474,19.39,61,0,0.89,NZ,1696297347
151,howrah,22.5892,88.3103,28.0,94,40,3.09,IN,1696297347
152,verkhnevilyuysk,63.4453,120.3167,-0.59,77,42,1.79,RU,1696297347
153,madera,37.1666,-119.8343,24.05,39,25,1.86,US,1696297347
154,hasaki,35.7333,140.8333,27.38,51,65,4.46,JP,1696297347
155,paka,4.6374,103.4368,23.96,100,20,0.0,MY,1696297347
156,lihue,21.9789,-159.3672,28.58,72,0,4.63,US,1696297217
157,sao paulo de olivenca,-3.3783,-68.8725,26.97,65,100,0.76,BR,1696297347
